,Metadata_InChIKey,Metadata_JCP2022,SMILES
93,ABBDWHZUGZXZQM-UHFFFAOYSA-N,JCP2022_000216,OC(Cc1csc(COc2ccc(Cl)cc2)n1)=NCCc1nnc2ccccn12
94,ABBUKNGJXDJYGO-UHFFFAOYSA-N,JCP2022_000218,Clc1cccc(CSc2nnc(-c3ccncc3)o2)c1
95,ABBXBEXKILHKIJ-UHFFFAOYSA-N,JCP2022_000221,CC(O)=Nc1cccc(-c2nnc3n2CC(C)S3)c1
96,ABCUIVDJIWPCLM-UHFFFAOYSA-N,JCP2022_000227,Oc1cc(-c2ccccc2)nc(N2CCCCC2)n1
97,ABCYQZNXRKDINX-UHFFFAOYSA-N,JCP2022_000229,CCc1ccc(CN(C)C(C)C(=O)N2CCN=C2O)cc1
98,ABDGFRMNOIBYPA-UHFFFAOYSA-N,JCP2022_000230,OC(CCOc1ccc(Br)cc1)=NCc1ccc(N2CCOCC2)nc1
99,ABDHCVSZDXIHJS-UHFFFAOYSA-N,JCP2022_000231,Cc1c(C=CC(=O)c2ccc3c(c2)OCCO3)cc(C#N)n1C
100,ABEDSOATRKGRLT-UHFFFAOYSA-N,JCP2022_000233,COc1ccc(N=C(O)c2c(C)oc3c(F)c(F)c(F)c(F)c23)c(OC)c1
101,ABFFIDZKCIAUGN-UHFFFAOYSA-N,JCP2022_000239,N=C(O)C1CCN(C(=O)CCn2c(-c3ccccc3)cc3ccccc32)CC1
102,ABFQIRWVURAEFU-UHFFFAOYSA-N,JCP2022_000241,CC(O)=Nc1ccc2c(Cn3cc(C(F)(F)F)cc(Cl)c3=O)cc(=O)oc2c1
103,ABFRIEGUYBNIMD-UHFFFAOYSA-N,JCP2022_000242,O=C(NCCCn1ccnc1)c1nc(-c2cccc3[nH]ccc23)no1
104,ABGAVQUZBDOQJB-UHFFFAOYSA-N,JCP2022_000244,CC(O)=Nc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3-c2ccccc2)cc1
105,ABGMCCFJCIATIE-UHFFFAOYSA-N,JCP2022_000245,CCCCCn1c(=O)c(C(O)=NCc2cccnc2)c(O)c2ccccc21
106,ABGQXDJIVXRAAA-UHFFFAOYSA-N,JCP2022_000247,Cc1cccc(NC(=O)C(=O)NC2CCCCCC2)c1
107,ABGRDOXOFFFCRZ-UHFFFAOYSA-N,JCP2022_000249,COC(=O)c1sc(-c2ccccc2)cc1N=C(O)Cc1ccc(OC)c(C)c1
108,ABGVVHCHQBCTFO-UHFFFAOYSA-N,JCP2022_000251,COC(=O)c1cc(Br)ccc1N=C(O)Nc1ccc(C)cc1
109,ABHGEEPLBHTDKI-UHFFFAOYSA-N,JCP2022_000254,COc1ccc(CCC(O)=Nc2ccc3[nH]c(=Nc4cccc(Cl)c4)cc(C)c3c2)cc1
110,ABIVOOWWGYJNLV-UHFFFAOYSA-N,JCP2022_000262,N=C(O)C1CCCCc2c1[nH]c1ccc(Cl)cc21
111,ABIXKBMKJXACGJ-UHFFFAOYSA-N,JCP2022_000264,NC1C2CN3CCN(C2)CC1(c1ccccc1)C3
112,ABIXNZREIZUBDQ-UHFFFAOYSA-N,JCP2022_000265,Cc1noc(C)c1-c1cccc(CC2CCN(S(=O)(=O)N(C)C)C2)n1
